InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,MajorCategory,MinorCategory,OrderValue
10115,S786,Sandals,4,2024-02-11,22043,207,USA,Clothing,Footwear,88172
10116,S510,Refrigerator,3,2024-04-30,43623,933,Canada,Electronics,Appliances,130869
10117,S218,Shoes,3,2024-02-11,16741,891,Germany,Clothing,Footwear,50223
10118,S630,CoffeeTable,4,2024-01-25,3752,470,Canada,Furniture,LivingRoom,15008
10119,S234,Microwave,2,2024-03-11,17701,394,Germany,Electronics,Appliances,35402
10120,S918,Bed,1,2024-03-18,41489,345,USA,Furniture,Bedroom,41489
10121,S216,Desktop,1,2024-04-17,14925,572,India,Electronics,Computers,14925
10122,S379,Desk,3,2024-03-31,33549,525,Germany,Furniture,Office,100647
10123,S295,Keyboard,5,2024-02-19,9679,713,Canada,Electronics,Accessories,48395
10124,S974,Chair,3,2024-04-11,50838,524,UK,Furniture,Office,152514
10125,S957,DiningTable,3,2024-02-08,47782,701,Canada,Furniture,Dining,143346
10126,S453,Bed,4,2024-03-02,35496,440,Canada,Furniture,Bedroom,141984
10127,S814,Wardrobe,3,2024-01-25,57190,344,Canada,Furniture,Bedroom,171570
10128,S584,Keyboard,1,2024-04-05,21052,822,Germany,Electronics,Accessories,21052
10129,S704,Keyboard,1,2024-03-05,8473,439,India,Electronics,Accessories,8473
10130,S519,Desktop,1,2024-01-19,47546,991,USA,Electronics,Computers,47546
10131,S507,Sandals,3,2024-03-29,41045,765,India,Clothing,Footwear,123135
10132,S136,Refrigerator,4,2024-03-10,57372,732,India,Electronics,Appliances,229488
10133,S878,Jacket,1,2024-01-13,28640,748,India,Clothing,Outerwear,28640
10134,S147,Headphones,3,2024-01-04,59406,432,India,Electronics,Accessories,178218
10135,S643,Speaker,4,2024-02-01,9740,521,Canada,Electronics,Entertainment,38960
10136,S991,Chair,2,2024-03-19,5375,491,Canada,Furniture,Office,10750
10137,S572,Desk,5,2024-01-30,9579,753,UK,Furniture,Office,47895
10138,S793,TV,4,2024-02-06,59261,659,USA,Electronics,Entertainment,237044
10139,S534,Sandals,5,2024-03-22,19805,806,UK,Clothing,Footwear,99025
10140,S209,TV,4,2024-03-02,56124,342,Germany,Electronics,Entertainment,224496
10141,S774,DiningChair,3,2024-04-16,1637,505,UK,Furniture,Dining,4911
10142,S393,Hoodie,4,2024-04-25,54780,894,USA,Clothing,Tops,219120
10143,S794,DiningTable,2,2024-02-02,40890,873,USA,Furniture,Dining,81780
10144,S134,Sofa,3,2024-02-26,51882,693,UK,Furniture,LivingRoom,155646
10145,S525,Chair,3,2024-04-05,21611,279,USA,Furniture,Office,64833
10146,S944,Coat,2,2024-04-26,17040,593,UK,Clothing,Outerwear,34080
10147,S872,DiningTable,4,2024-01-19,5134,331,Germany,Furniture,Dining,20536
10148,S649,DiningTable,4,2024-02-03,1112,226,Germany,Furniture,Dining,4448
10149,S339,Speaker,3,2024-03-27,7300,582,India,Electronics,Entertainment,21900
10150,S575,DiningTable,1,2024-04-15,41841,817,UK,Furniture,Dining,41841
10151,S411,Bed,2,2024-01-05,3171,604,India,Furniture,Bedroom,6342
10152,S786,Jeans,4,2024-02-17,29929,860,Canada,Clothing,Bottoms,119716
10153,S730,Keyboard,1,2024-03-03,54836,517,UK,Electronics,Accessories,54836
10154,S975,Jacket,4,2024-01-31,29343,471,India,Clothing,Outerwear,117372
10155,S294,DiningChair,1,2024-02-05,26292,225,Germany,Furniture,Dining,26292
10156,S349,Jeans,1,2024-02-12,51763,228,Canada,Clothing,Bottoms,51763
10157,S932,Hoodie,2,2024-01-28,38629,990,USA,Clothing,Tops,77258
10158,S248,Headphones,1,2024-04-19,18371,233,Canada,Electronics,Accessories,18371
10159,S466,Mouse,1,2024-01-02,8837,908,USA,Electronics,Accessories,8837
10160,S229,DiningTable,2,2024-01-07,17591,859,Germany,Furniture,Dining,35182
10161,S470,Sofa,4,2024-04-09,29578,625,Canada,Furniture,LivingRoom,118312
10162,S902,Shoes,5,2024-04-03,3041,987,Canada,Clothing,Footwear,15205
10163,S511,Microwave,1,2024-04-18,31590,536,India,Electronics,Appliances,31590
10164,S251,Microwave,1,2024-03-18,21309,167,USA,Electronics,Appliances,21309
10165,S564,Speaker,5,2024-02-07,34970,617,Canada,Electronics,Entertainment,174850
10166,S320,Laptop,5,2024-04-20,47440,540,Germany,Electronics,Computers,237200
10167,S847,Sandals,4,2024-02-23,26331,197,UK,Clothing,Footwear,105324
10168,S585,Speaker,3,2024-03-28,10203,168,India,Electronics,Entertainment,30609
10169,S481,Shirt,1,2024-04-04,48997,931,USA,Clothing,Tops,48997
10170,S994,CoffeeTable,1,2024-02-15,27122,781,Germany,Furniture,LivingRoom,27122
10171,S206,CoffeeTable,5,2024-02-15,20676,691,Canada,Furniture,LivingRoom,103380
10172,S458,Trousers,2,2024-01-14,55727,965,Canada,Clothing,Bottoms,111454
10173,S539,Desktop,5,2024-04-13,15021,965,Canada,Electronics,Computers,75105
10174,S819,CoffeeTable,1,2024-02-04,12023,880,UK,Furniture,LivingRoom,12023
10175,S679,TV,2,2024-01-19,57207,773,Germany,Electronics,Entertainment,114414
10176,S320,Jeans,1,2024-03-08,49097,485,Germany,Clothing,Bottoms,49097
10177,S432,TV,3,2024-04-02,20623,895,Canada,Electronics,Entertainment,61869
10178,S732,Sofa,2,2024-04-06,10516,150,India,Furniture,LivingRoom,21032
10179,S524,Refrigerator,4,2024-02-26,39985,379,USA,Electronics,Appliances,159940
10180,S794,CoffeeTable,4,2024-02-06,7467,794,Canada,Furniture,LivingRoom,29868
10181,S156,TV,2,2024-03-17,26103,107,USA,Electronics,Entertainment,52206
10182,S222,Mouse,3,2024-02-11,19169,107,Germany,Electronics,Accessories,57507
10183,S820,Bed,2,2024-03-09,25117,335,Canada,Furniture,Bedroom,50234
10184,S143,DiningTable,4,2024-04-04,56676,546,India,Furniture,Dining,226704
10185,S514,Desktop,5,2024-03-14,28333,826,Germany,Electronics,Computers,141665
10186,S920,Desktop,1,2024-01-22,21484,732,Germany,Electronics,Computers,21484
10187,S349,DiningTable,4,2024-01-14,55544,546,Canada,Furniture,Dining,222176
10188,S326,Desktop,3,2024-02-13,49077,441,USA,Electronics,Computers,147231
10189,S894,Hoodie,5,2024-04-25,12907,457,UK,Clothing,Tops,64535
10190,S302,Chair,1,2024-02-02,9797,277,Canada,Furniture,Office,9797
10191,S677,T-shirt,4,2024-04-06,30605,878,Canada,Clothing,Tops,122420
10192,S580,Speaker,2,2024-01-09,29020,552,UK,Electronics,Entertainment,58040
10193,S572,Desktop,5,2024-02-09,5062,562,India,Electronics,Computers,25310
10194,S975,Coat,1,2024-04-20,42448,192,Canada,Clothing,Outerwear,42448
10195,S856,Wardrobe,5,2024-04-11,36527,142,Germany,Furniture,Bedroom,182635
10196,S254,Desk,5,2024-03-05,31370,163,Germany,Furniture,Office,156850
10197,S140,Jacket,5,2024-01-23,42544,353,Germany,Clothing,Outerwear,212720
10198,S518,Keyboard,3,2024-02-19,18739,893,UK,Electronics,Accessories,56217
10199,S671,CoffeeTable,1,2024-01-13,21806,794,Germany,Furniture,LivingRoom,21806
10200,S779,TV,3,2024-03-15,5541,244,UK,Electronics,Entertainment,16623
10201,S186,Microwave,5,2024-04-30,46654,417,Canada,Electronics,Appliances,233270
10202,S786,TV,5,2024-03-23,6324,533,Canada,Electronics,Entertainment,31620
10203,S449,Desktop,3,2024-01-28,12013,884,Germany,Electronics,Computers,36039
10204,S964,Jeans,2,2024-02-07,5257,907,India,Clothing,Bottoms,10514
10205,S485,CoffeeTable,5,2024-03-17,8788,257,USA,Furniture,LivingRoom,43940
10206,S792,Trousers,1,2024-02-16,27126,836,USA,Clothing,Bottoms,27126
10207,S416,Speaker,2,2024-01-31,35196,928,Germany,Electronics,Entertainment,70392
10208,S896,Coat,4,2024-02-06,50625,491,Canada,Clothing,Outerwear,202500
10209,S241,Bed,2,2024-03-18,52711,993,UK,Furniture,Bedroom,105422
10210,S966,Sandals,5,2024-04-01,6923,628,India,Clothing,Footwear,34615
10211,S625,Laptop,3,2024-04-25,29646,250,Germany,Electronics,Computers,88938
10212,S154,Trousers,3,2024-02-23,1947,505,Canada,Clothing,Bottoms,5841
10213,S128,Keyboard,1,2024-01-29,24770,426,India,Electronics,Accessories,24770
10214,S949,DiningTable,2,2024-02-06,2710,583,USA,Furniture,Dining,5420
10215,S181,Wardrobe,5,2024-04-25,544,119,UK,Furniture,Bedroom,2720
10216,S343,Trousers,1,2024-02-06,51067,408,India,Clothing,Bottoms,51067
10217,S213,Trousers,5,2024-01-09,30157,956,Germany,Clothing,Bottoms,150785
10218,S101,Sofa,2,2024-02-24,19288,729,UK,Furniture,LivingRoom,38576
10219,S169,Shoes,1,2024-02-16,34507,638,Canada,Clothing,Footwear,34507
10220,S496,CoffeeTable,4,2024-03-22,3053,482,UK,Furniture,LivingRoom,12212
10221,S850,CoffeeTable,1,2024-01-31,22796,772,India,Furniture,LivingRoom,22796
10222,S446,DiningTable,1,2024-03-10,23288,933,USA,Furniture,Dining,23288
10223,S164,Wardrobe,2,2024-01-18,53382,833,Germany,Furniture,Bedroom,106764
10224,S142,Jacket,1,2024-01-26,52046,423,UK,Clothing,Outerwear,52046
10225,S762,Wardrobe,3,2024-04-06,2599,295,UK,Furniture,Bedroom,7797
10226,S476,Desktop,3,2024-04-12,8357,547,Germany,Electronics,Computers,25071
10227,S808,Wardrobe,3,2024-03-04,12443,609,UK,Furniture,Bedroom,37329
10228,S716,DiningTable,4,2024-02-25,5372,942,USA,Furniture,Dining,21488
10229,S776,DiningChair,1,2024-02-11,5447,402,UK,Furniture,Dining,5447
10230,S143,Microwave,4,2024-02-27,23238,844,UK,Electronics,Appliances,92952
10231,S752,Wardrobe,1,2024-03-26,5117,515,UK,Furniture,Bedroom,5117
10232,S794,Chair,2,2024-03-18,55818,900,Germany,Furniture,Office,111636
10233,S475,Jeans,2,2024-03-23,51220,470,Germany,Clothing,Bottoms,102440
10234,S554,Sofa,4,2024-02-17,24511,881,India,Furniture,LivingRoom,98044
10235,S385,Desk,4,2024-03-24,20803,355,India,Furniture,Office,83212
10236,S675,Trousers,5,2024-04-26,25561,220,UK,Clothing,Bottoms,127805
10237,S602,Microwave,5,2024-03-29,18915,304,India,Electronics,Appliances,94575
10238,S555,Shirt,2,2024-04-01,59095,189,UK,Clothing,Tops,118190
10239,S407,DiningTable,5,2024-02-07,35731,971,USA,Furniture,Dining,178655
10240,S305,Desk,5,2024-01-16,14895,911,USA,Furniture,Office,74475
10241,S477,Shoes,3,2024-03-14,36508,578,Canada,Clothing,Footwear,109524
10242,S836,T-shirt,3,2024-04-01,26293,590,Canada,Clothing,Tops,78879
10243,S175,Microwave,2,2024-03-23,20976,560,Germany,Electronics,Appliances,41952
10244,S286,DiningTable,5,2024-03-16,42129,886,USA,Furniture,Dining,210645
10245,S268,Laptop,5,2024-02-08,10228,265,UK,Electronics,Computers,51140
10246,S966,Desk,5,2024-02-06,58849,180,UK,Furniture,Office,294245
10247,S195,Jacket,3,2024-03-09,40467,614,USA,Clothing,Outerwear,121401
10248,S719,Chair,5,2024-04-25,47427,445,Canada,Furniture,Office,237135
10249,S690,T-shirt,1,2024-04-08,42238,371,USA,Clothing,Tops,42238
10250,S658,Bed,4,2024-03-21,58461,396,UK,Furniture,Bedroom,233844
10251,S174,Headphones,4,2024-02-28,19692,805,India,Electronics,Accessories,78768
10252,S448,Sandals,4,2024-01-27,30637,721,USA,Clothing,Footwear,122548
10253,S479,Speaker,4,2024-04-07,8769,627,Canada,Electronics,Entertainment,35076
10254,S560,Jacket,4,2024-02-04,8229,353,USA,Clothing,Outerwear,32916
10255,S528,Shirt,4,2024-03-19,56833,354,USA,Clothing,Tops,227332
10256,S578,TV,2,2024-03-06,32854,610,UK,Electronics,Entertainment,65708
10257,S346,Laptop,4,2024-02-28,33324,320,Canada,Electronics,Computers,133296
10258,S963,Laptop,3,2024-03-17,32633,769,Germany,Electronics,Computers,97899
10259,S370,Laptop,4,2024-04-22,8977,844,UK,Electronics,Computers,35908
10260,S675,TV,4,2024-03-13,3552,299,UK,Electronics,Entertainment,14208
10261,S882,DiningTable,4,2024-02-27,33246,663,UK,Furniture,Dining,132984
10262,S913,Sofa,1,2024-02-17,26014,447,Canada,Furniture,LivingRoom,26014
10263,S612,Mouse,5,2024-02-21,33565,141,India,Electronics,Accessories,167825
10264,S252,Trousers,4,2024-02-28,34234,720,Canada,Clothing,Bottoms,136936
10265,S857,Coat,2,2024-03-19,25952,962,UK,Clothing,Outerwear,51904
10266,S935,DiningChair,5,2024-03-01,19847,117,UK,Furniture,Dining,99235
10267,S842,Desktop,5,2024-04-11,20363,993,India,Electronics,Computers,101815
10268,S838,Wardrobe,5,2024-01-30,38055,152,Canada,Furniture,Bedroom,190275
10269,S489,Headphones,5,2024-04-17,50964,251,USA,Electronics,Accessories,254820
10270,S528,T-shirt,1,2024-02-10,29103,255,Germany,Clothing,Tops,29103
10271,S582,Desk,5,2024-03-19,50988,993,India,Furniture,Office,254940
10272,S589,Chair,5,2024-03-25,21502,638,Germany,Furniture,Office,107510
10273,S462,Keyboard,5,2024-03-10,22634,792,UK,Electronics,Accessories,113170
10274,S405,Bed,2,2024-03-12,18484,330,UK,Furniture,Bedroom,36968
10275,S457,Headphones,4,2024-03-02,20977,673,UK,Electronics,Accessories,83908
10276,S891,Desktop,4,2024-02-14,53833,923,USA,Electronics,Computers,215332
10277,S552,Desktop,1,2024-04-28,22899,771,UK,Electronics,Computers,22899
10278,S377,Bed,2,2024-03-09,54460,675,UK,Furniture,Bedroom,108920
10279,S151,Hoodie,5,2024-02-01,15881,785,Canada,Clothing,Tops,79405
10280,S834,Jeans,1,2024-02-12,27286,583,India,Clothing,Bottoms,27286
10281,S768,Chair,5,2024-02-22,10550,999,Germany,Furniture,Office,52750
10282,S160,Keyboard,3,2024-03-23,18904,887,India,Electronics,Accessories,56712
10283,S957,Chair,2,2024-04-22,27586,280,India,Furniture,Office,55172
10284,S109,Microwave,3,2024-01-05,57658,405,Canada,Electronics,Appliances,172974
10285,S656,CoffeeTable,3,2024-03-23,29976,636,Germany,Furniture,LivingRoom,89928
10286,S438,Sandals,2,2024-01-15,53206,266,Germany,Clothing,Footwear,106412
10287,S909,DiningTable,1,2024-02-13,48474,402,Canada,Furniture,Dining,48474
10288,S515,Chair,5,2024-03-22,56308,946,Germany,Furniture,Office,281540
10289,S289,DiningTable,4,2024-01-13,44060,243,Germany,Furniture,Dining,176240
10290,S557,Mouse,3,2024-01-31,25337,871,UK,Electronics,Accessories,76011
10291,S809,TV,3,2024-02-16,43039,341,India,Electronics,Entertainment,129117
10292,S802,CoffeeTable,3,2024-02-21,10667,614,UK,Furniture,LivingRoom,32001
10293,S324,CoffeeTable,3,2024-01-29,40480,236,Germany,Furniture,LivingRoom,121440
10294,S582,Sandals,4,2024-03-11,46202,875,Canada,Clothing,Footwear,184808
10295,S183,Chair,5,2024-04-10,57421,638,Germany,Furniture,Office,287105
10296,S948,DiningTable,5,2024-01-08,7553,660,Canada,Furniture,Dining,37765
10297,S552,Jeans,3,2024-03-07,56199,219,USA,Clothing,Bottoms,168597
10298,S156,Bed,5,2024-04-13,29395,564,USA,Furniture,Bedroom,146975
10299,S573,Wardrobe,5,2024-03-12,3983,788,UK,Furniture,Bedroom,19915
10300,S863,CoffeeTable,3,2024-01-01,53707,323,Canada,Furniture,LivingRoom,161121
10301,S654,Shirt,3,2024-01-09,46100,161,India,Clothing,Tops,138300
10302,S238,Desktop,4,2024-04-08,11995,884,Germany,Electronics,Computers,47980
10303,S799,Refrigerator,4,2024-01-11,24818,777,Canada,Electronics,Appliances,99272
10304,S641,Jacket,2,2024-02-20,35409,230,USA,Clothing,Outerwear,70818
10305,S657,Shirt,4,2024-04-02,44338,534,Canada,Clothing,Tops,177352
10306,S382,Mouse,4,2024-01-20,22885,293,India,Electronics,Accessories,91540
10307,S203,Shoes,2,2024-01-09,13705,708,India,Clothing,Footwear,27410
10308,S339,Laptop,1,2024-02-26,26562,652,USA,Electronics,Computers,26562
10309,S849,Trousers,2,2024-04-27,53663,689,UK,Clothing,Bottoms,107326
10310,S776,DiningTable,3,2024-01-19,57626,633,USA,Furniture,Dining,172878
10311,S852,Speaker,1,2024-03-16,36685,279,Germany,Electronics,Entertainment,36685
10312,S490,Bed,3,2024-03-26,42360,904,Canada,Furniture,Bedroom,127080
10313,S288,Refrigerator,2,2024-02-18,19853,872,Canada,Electronics,Appliances,39706
10314,S247,Mouse,3,2024-03-31,56399,925,Germany,Electronics,Accessories,169197
10315,S497,Sandals,5,2024-01-18,34933,348,UK,Clothing,Footwear,174665
10316,S194,Jacket,4,2024-02-17,55717,648,USA,Clothing,Outerwear,222868
10317,S994,Coat,5,2024-01-06,39713,174,USA,Clothing,Outerwear,198565
10318,S440,Desk,2,2024-04-26,57181,410,India,Furniture,Office,114362
10319,S718,Jeans,4,2024-03-30,16098,820,USA,Clothing,Bottoms,64392
10320,S489,Headphones,3,2024-02-06,51024,577,Canada,Electronics,Accessories,153072
10321,S609,DiningChair,3,2024-03-06,23769,577,India,Furniture,Dining,71307
10322,S523,Wardrobe,2,2024-02-10,24494,146,Canada,Furniture,Bedroom,48988
10323,S698,Jeans,3,2024-04-29,36461,693,Germany,Clothing,Bottoms,109383
10324,S683,Mouse,3,2024-02-18,15274,953,USA,Electronics,Accessories,45822
10325,S857,Speaker,4,2024-03-23,47619,602,Germany,Electronics,Entertainment,190476
10326,S600,Jacket,2,2024-03-10,47406,288,Canada,Clothing,Outerwear,94812
10327,S149,Sofa,1,2024-03-26,53808,882,India,Furniture,LivingRoom,53808
10328,S254,Headphones,2,2024-03-31,4654,109,USA,Electronics,Accessories,9308
10329,S782,Wardrobe,1,2024-03-22,40690,731,Germany,Furniture,Bedroom,40690
10330,S521,Bed,1,2024-03-11,35079,112,India,Furniture,Bedroom,35079
10331,S814,DiningChair,1,2024-04-14,33113,790,Germany,Furniture,Dining,33113
10332,S296,T-shirt,5,2024-01-31,9958,734,Canada,Clothing,Tops,49790
