State (India Ev Ice Adoption Large.Csv),Charging Stations (India Ev Ice Adoption Large.Csv),Ev Vehicle Registrations (India Ev Ice Adoption Large.Csv)
Haryana,626,3081
Haryana,563,675
Haryana,617,0
Haryana,980,2127
Haryana,234,4237
Haryana,826,19570
Jharkhand,695,1592
Jharkhand,150,8591
Jharkhand,75,5463
Jharkhand,55,22682
Jharkhand,423,0
Jharkhand,589,12995
Jharkhand,271,19178
Jharkhand,500,12377
Jharkhand,727,5339
Jharkhand,765,16467
Jharkhand,919,26807
Jharkhand,973,7999
Jharkhand,188,10016
Jharkhand,481,2174
Jharkhand,272,15870
West Bengal,501,19239
West Bengal,826,1628
West Bengal,666,6220
West Bengal,557,26912
West Bengal,537,26861
West Bengal,1153,13256
West Bengal,1013,36435
Assam,762,6543
Assam,406,7883
Assam,281,11670
Assam,498,7579
Assam,617,9427
Assam,692,32075
Assam,76,6428
Assam,497,29301
Assam,872,6147
Assam,1111,270
Assam,285,15150
Assam,551,5848
Assam,1282,35820
Assam,243,12784
Assam,663,9607
Assam,546,1224
Assam,775,11281
Assam,587,8591
Assam,327,17068
Assam,464,5805
Assam,256,1231
Assam,640,20330
Assam,868,5097
Assam,323,12046
Assam,278,3837
Assam,711,8604
Assam,397,40894
Assam,391,25255
Assam,559,17375
Assam,593,0
Assam,836,10605
Assam,69,16224
Assam,865,10217
Assam,600,10793
Assam,65,3198
Assam,383,8687
Assam,503,11287
Assam,752,784
Assam,982,4936
Assam,155,18032
Assam,325,13171
Assam,757,12951
Assam,901,29616
Assam,775,20444
Assam,337,14975
Assam,300,10420
Assam,456,12931
Assam,711,27497
Assam,1014,5734
Bihar,635,17935
Bihar,11,20096
Bihar,315,11118
Bihar,286,20463
Bihar,887,7771
Bihar,188,15578
Bihar,80,17712
Bihar,678,7901
Bihar,79,18859
Bihar,853,23092
Bihar,209,18110
Bihar,563,9462
Bihar,842,8879
Bihar,171,10060
Bihar,876,15483
Bihar,217,0
Bihar,53,20313
Bihar,808,8031
Bihar,739,8001
Bihar,854,19971
Bihar,400,69
Bihar,296,0
Bihar,394,15908
Bihar,454,11002
Bihar,315,17354
Bihar,423,3532
Bihar,425,3786
Bihar,195,15314
Bihar,214,22030
Bihar,117,28726
Bihar,269,17602
Bihar,288,12848
Bihar,842,20574
Bihar,406,31872
Bihar,680,7602
Bihar,584,16577
Bihar,594,31486
Bihar,516,13798
Bihar,500,0
Bihar,229,0
Bihar,625,3642
Bihar,1384,18218
Chhattisgarh,817,2824
Chhattisgarh,22,14658
Chhattisgarh,1153,21759
Chhattisgarh,884,30762
Chhattisgarh,405,12254
Chhattisgarh,546,0
Chhattisgarh,580,16039
Chhattisgarh,933,5443
Chhattisgarh,665,19555
Chhattisgarh,534,2267
Chhattisgarh,505,16997
Chhattisgarh,756,12007
Chhattisgarh,363,19381
Chhattisgarh,606,6587
Chhattisgarh,723,6235
Chhattisgarh,688,20901
Chhattisgarh,888,19473
Chhattisgarh,595,12137
Chhattisgarh,731,11457
Chhattisgarh,412,18499
Chhattisgarh,347,15268
Chhattisgarh,521,2374
Chhattisgarh,452,8703
Chhattisgarh,932,21931
Chhattisgarh,556,6494
Chhattisgarh,569,32460
Chhattisgarh,580,9033
Chhattisgarh,765,20851
Chhattisgarh,1062,27986
Chhattisgarh,395,14909
Chhattisgarh,539,8562
Chhattisgarh,708,6494
Chhattisgarh,721,5958
Chhattisgarh,356,249
Chhattisgarh,701,29877
Chhattisgarh,51,17617
Chhattisgarh,996,6761
Chhattisgarh,771,20840
Chhattisgarh,586,0
Chhattisgarh,562,0
Chhattisgarh,195,8534
Chhattisgarh,329,14800
Chhattisgarh,723,7712
Chhattisgarh,365,15914
Delhi,152,27651
Delhi,1171,5808
Delhi,181,8399
Delhi,626,26760
Delhi,660,8406
Delhi,246,20924
Delhi,876,24851
Delhi,797,2483
Delhi,649,5440
Delhi,419,12856
Delhi,1192,23045
Delhi,526,31327
Delhi,119,7513
Delhi,300,7077
Delhi,595,0
Delhi,831,10437
Delhi,465,0
Delhi,478,9715
Delhi,61,0
Delhi,778,5721
Delhi,291,7716
Delhi,651,3315
Delhi,313,18813
Delhi,990,28349
Delhi,361,5501
Delhi,819,8859
Delhi,142,4306
Delhi,790,12509
Delhi,579,933
Delhi,734,16072
Delhi,795,10118
Delhi,383,0
Delhi,554,24430
Delhi,531,19070
Delhi,1179,6767
Delhi,808,23927
Delhi,148,0
Delhi,508,13718
Delhi,853,10704
Delhi,377,10516
Gujarat,435,17735
Gujarat,83,4291
Gujarat,450,7117
Gujarat,627,5228
Gujarat,1136,15339
Gujarat,334,24676
Gujarat,581,15746
Gujarat,496,4541
Gujarat,582,343
Gujarat,257,2503
Gujarat,405,8819
Gujarat,544,16383
Gujarat,133,0
Gujarat,686,18143
Gujarat,440,12504
Gujarat,16,14401
Gujarat,287,17875
Gujarat,662,9339
Gujarat,658,14710
Gujarat,831,22009
Gujarat,470,16318
Gujarat,719,5454
Gujarat,177,3236
Gujarat,868,16254
Gujarat,301,9863
Gujarat,821,5830
Gujarat,771,17209
Gujarat,351,3355
Gujarat,377,9924
Gujarat,1066,14272
Gujarat,228,18945
Gujarat,1115,20016
Gujarat,328,10194
Gujarat,529,9266
Gujarat,715,4157
Gujarat,222,15726
Gujarat,66,10295
Gujarat,385,8450
Gujarat,895,8237
Gujarat,471,8186
Gujarat,478,0
Gujarat,454,6864
Haryana,990,11135
Haryana,685,15715
Haryana,403,30721
Haryana,207,16308
Haryana,684,14009
Haryana,531,1632
Haryana,595,4326
Haryana,750,11439
Haryana,317,6707
Haryana,318,9830
Haryana,498,4614
Haryana,94,15376
Haryana,125,6352
Haryana,577,2780
Haryana,183,11690
Haryana,1009,17350
Haryana,468,24061
Haryana,310,24434
Haryana,166,20570
Haryana,471,17063
Haryana,757,23766
Haryana,626,19258
Haryana,453,9804
Haryana,557,17114
Haryana,381,3632
Haryana,885,19215
Haryana,221,7535
Haryana,933,19979
Haryana,241,11317
Haryana,1105,4353
Haryana,807,1256
Haryana,743,0
Haryana,331,9144
Haryana,969,24214
Haryana,1136,1434
Haryana,81,6045
Haryana,535,37272
Haryana,826,15037
Haryana,26,12008
Haryana,916,0
Haryana,760,22016
Haryana,560,15365
Haryana,249,23172
Haryana,130,12270
Haryana,452,7641
Haryana,424,20724
Haryana,713,0
Haryana,946,9089
Haryana,553,13176
Jharkhand,653,14749
Jharkhand,600,724
Jharkhand,1477,36475
Jharkhand,10,5731
Jharkhand,524,35363
Jharkhand,1006,12217
Jharkhand,578,24542
Jharkhand,712,10612
Jharkhand,175,6571
Jharkhand,93,8294
Jharkhand,118,19336
Jharkhand,262,11905
Jharkhand,811,23384
Jharkhand,599,7241
Jharkhand,318,38
Jharkhand,458,6080
Jharkhand,171,22881
Jharkhand,759,5724
Jharkhand,263,17398
Jharkhand,511,7436
Jharkhand,587,5261
Jharkhand,798,26447
Jharkhand,285,4887
Jharkhand,466,0
Jharkhand,68,16327
Jharkhand,914,0
Jharkhand,729,0
Jharkhand,439,13561
Jharkhand,674,8551
Jharkhand,18,20507
Jharkhand,39,12512
Maharashtra,79,1449
Maharashtra,838,2710
Maharashtra,273,31569
Maharashtra,883,10212
Maharashtra,147,5207
Maharashtra,295,8155
Maharashtra,989,11899
Maharashtra,603,3731
Maharashtra,588,17205
Maharashtra,867,8586
Maharashtra,250,33245
Maharashtra,589,5162
Maharashtra,947,5973
Maharashtra,760,11380
Maharashtra,59,0
Maharashtra,198,10376
Maharashtra,504,11209
Maharashtra,535,5499
Maharashtra,547,14243
Maharashtra,564,5593
Maharashtra,746,930
Maharashtra,419,8445
Maharashtra,725,17851
Maharashtra,539,16809
Maharashtra,626,11239
Maharashtra,235,6397
Maharashtra,281,13715
Maharashtra,808,2496
Maharashtra,346,17134
Maharashtra,908,9617
Maharashtra,529,8300
Maharashtra,715,13916
Maharashtra,873,1514
Maharashtra,316,1400
Maharashtra,807,18557
Maharashtra,419,543
Odisha,138,11022
Odisha,205,0
Odisha,562,4457
Odisha,869,12319
Odisha,365,8482
Odisha,682,10864
Odisha,767,2883
Odisha,310,2892
Odisha,554,0
Odisha,43,8931
Odisha,948,16631
Odisha,618,1444
Odisha,10,8806
Odisha,1102,18929
Odisha,332,12361
Odisha,640,20106
Odisha,509,7269
Odisha,131,9101
Odisha,324,1743
Odisha,468,4558
Odisha,720,18580
Odisha,587,19084
Odisha,855,8895
Odisha,73,19074
Odisha,168,20487
Odisha,774,16440
Odisha,972,28395
Odisha,723,2771
Odisha,242,18939
Odisha,749,9096
Odisha,184,2814
Odisha,945,14202
Odisha,1177,8981
Odisha,426,21993
Odisha,136,440
Odisha,685,12783
Odisha,762,0
Odisha,26,35592
Odisha,369,12680
Odisha,125,26295
Odisha,300,0
Odisha,894,18837
Odisha,635,0
Odisha,900,21235
Odisha,693,13985
Odisha,333,6467
Odisha,477,8371
Odisha,997,10223
Odisha,155,8324
Punjab,385,5703
Punjab,311,17160
Punjab,409,15378
Punjab,368,11522
Punjab,884,22440
Punjab,878,18656
Punjab,313,11275
Punjab,701,15092
Punjab,448,0
Punjab,470,10288
Punjab,302,20734
Punjab,789,12040
Punjab,10,4363
Punjab,171,905
Punjab,664,6078
Punjab,80,6544
Punjab,348,15972
Punjab,65,3155
Punjab,789,19008
Punjab,590,1092
Punjab,715,5497
Punjab,591,9921
Punjab,23,25443
Punjab,626,0
Punjab,411,16224
Punjab,388,12101
Punjab,456,19264
Punjab,354,7568
Punjab,402,7608
Punjab,30,39588
Punjab,314,16939
Punjab,473,29600
Punjab,945,2123
Punjab,336,5176
Punjab,44,5925
Punjab,503,0
Punjab,536,14124
Punjab,133,8571
Punjab,137,14126
Punjab,307,5794
Punjab,415,20599
Punjab,190,18494
Punjab,748,13325
Punjab,610,10148
Punjab,298,23509
Punjab,671,17297
Punjab,1230,12973
Rajasthan,736,17755
Rajasthan,114,8817
Rajasthan,252,0
Rajasthan,549,18882
Rajasthan,111,0
Rajasthan,298,7123
Rajasthan,407,17111
Rajasthan,647,6027
Rajasthan,657,6018
Rajasthan,669,21493
Rajasthan,601,15686
Rajasthan,204,692
Rajasthan,564,0
Rajasthan,357,8050
Rajasthan,292,15957
Rajasthan,352,15469
Rajasthan,457,4565
Rajasthan,220,19804
Rajasthan,641,9028
Rajasthan,314,0
Rajasthan,277,11710
Rajasthan,495,8707
Rajasthan,309,5677
Rajasthan,883,21597
Rajasthan,505,25183
Rajasthan,79,19633
Rajasthan,370,13446
Rajasthan,406,1271
Rajasthan,303,23218
Rajasthan,170,19597
Rajasthan,324,17630
Rajasthan,463,977
Rajasthan,145,7600
Rajasthan,717,20288
Rajasthan,943,3604
Rajasthan,315,466
Rajasthan,544,3638
Rajasthan,580,18867
Rajasthan,602,12730
Rajasthan,629,8572
Rajasthan,472,5663
Rajasthan,359,0
Rajasthan,778,2767
Rajasthan,302,10149
Rajasthan,456,0
Rajasthan,269,37187
Rajasthan,211,13861
Tamil Nadu,17,2803
Tamil Nadu,644,4713
Tamil Nadu,10,30792
Tamil Nadu,172,21267
Tamil Nadu,812,5522
Tamil Nadu,1001,15793
Tamil Nadu,475,6132
Tamil Nadu,634,12921
Tamil Nadu,630,0
Tamil Nadu,380,26323
Tamil Nadu,202,12511
Tamil Nadu,712,8170
Tamil Nadu,568,4374
Tamil Nadu,427,667
Tamil Nadu,639,6586
Tamil Nadu,669,11335
Tamil Nadu,748,16775
Tamil Nadu,970,6208
Tamil Nadu,893,30407
Tamil Nadu,376,11978
Tamil Nadu,524,24225
Tamil Nadu,831,10759
Tamil Nadu,161,0
Tamil Nadu,681,18243
Tamil Nadu,521,10462
Tamil Nadu,870,24340
Tamil Nadu,576,37
Tamil Nadu,357,14403
Tamil Nadu,341,16075
Tamil Nadu,178,6227
Tamil Nadu,731,17714
Tamil Nadu,619,11001
Tamil Nadu,447,17504
Tamil Nadu,631,29599
Tamil Nadu,21,4556
Tamil Nadu,390,19001
Tamil Nadu,341,6368
Tamil Nadu,751,8427
Tamil Nadu,10,0
Tamil Nadu,332,23230
Tamil Nadu,743,19372
Telangana,746,13862
Telangana,469,7416
Telangana,247,4720
Telangana,622,4916
Telangana,566,2193
Telangana,711,27214
Telangana,681,24580
Telangana,204,27780
Telangana,749,15394
Telangana,459,6797
Telangana,232,10022
Telangana,522,3052
Telangana,342,32989
Telangana,505,2262
Telangana,98,4390
Telangana,10,0
Telangana,585,19544
Telangana,893,5529
Telangana,642,10691
Telangana,399,25536
Telangana,216,13232
Telangana,177,17464
Telangana,739,21530
Telangana,248,15304
Telangana,614,26627
Telangana,310,21099
Telangana,820,10765
Telangana,1093,637
Telangana,161,22932
Telangana,248,18360
Telangana,16,2563
Telangana,788,9266
Telangana,660,0
Telangana,716,21513
Telangana,493,15948
Telangana,384,10212
Telangana,427,7470
Telangana,110,8740
Uttar Pradesh,193,636
Uttar Pradesh,585,4363
Uttar Pradesh,24,25218
Uttar Pradesh,325,24001
Uttar Pradesh,1099,12521
Uttar Pradesh,274,36000
Uttar Pradesh,538,12011
Uttar Pradesh,106,1746
Uttar Pradesh,437,0
Uttar Pradesh,478,5191
Uttar Pradesh,951,0
Uttar Pradesh,258,2688
Uttar Pradesh,746,14138
Uttar Pradesh,1075,11048
Uttar Pradesh,1096,6231
Uttar Pradesh,476,14190
Uttar Pradesh,757,3287
Uttar Pradesh,615,28469
Uttar Pradesh,14,0
Uttar Pradesh,524,3206
Uttar Pradesh,135,5400
Uttar Pradesh,743,5077
Uttar Pradesh,448,11498
Uttar Pradesh,93,4153
Uttar Pradesh,480,1846
Uttar Pradesh,1032,21706
Uttar Pradesh,666,10829
Uttar Pradesh,330,21306
Uttar Pradesh,485,7957
Uttar Pradesh,787,10917
Uttar Pradesh,934,11757
Uttar Pradesh,826,14262
Uttar Pradesh,691,0
Uttar Pradesh,214,22997
Uttar Pradesh,283,9939
Uttar Pradesh,364,20517
Uttar Pradesh,672,10629
Uttar Pradesh,462,23781
Uttar Pradesh,475,5489
Uttar Pradesh,10,16709
Uttar Pradesh,220,0
Delhi,158,3017
Delhi,257,2621
Delhi,739,0
Delhi,739,4563
Delhi,10,0
Delhi,588,0
Delhi,183,9522
Delhi,335,3584
Delhi,22,5344
Delhi,265,29648
Delhi,321,9973
Delhi,463,11713
Delhi,662,19620
Delhi,812,7893
Delhi,269,18417
Delhi,635,4005
Delhi,630,32000
Delhi,579,4971
Delhi,682,979
Delhi,331,0
Delhi,479,14096
Delhi,649,20221
Delhi,219,11695
Delhi,775,22470
Delhi,1002,7210
Delhi,494,8788
Delhi,594,13310
Delhi,50,5803
Delhi,318,6310
Delhi,432,9648
Delhi,1108,12528
Delhi,832,14345
Delhi,105,17462
Delhi,577,19856
Delhi,625,5142
Delhi,641,36359
Delhi,490,23120
Delhi,1060,505
Delhi,10,41356
Delhi,207,25277
Delhi,645,14586
Delhi,151,558
Delhi,598,20043
Delhi,859,7615
Gujarat,403,0
Gujarat,925,25429
Gujarat,453,5047
Gujarat,137,7736
Gujarat,933,33832
Gujarat,449,7142
Gujarat,729,18068
Gujarat,294,23252
Gujarat,172,9948
Gujarat,748,985
Gujarat,543,27327
Gujarat,694,14941
Gujarat,336,15669
Gujarat,803,15288
Gujarat,169,6706
Gujarat,249,0
Gujarat,606,16268
Gujarat,381,2084
Gujarat,418,11153
Gujarat,184,12549
Gujarat,731,4809
Gujarat,122,3846
Gujarat,548,11733
Gujarat,764,0
Gujarat,487,7520
Gujarat,364,10863
Gujarat,229,14317
Gujarat,631,19484
Gujarat,268,11374
Gujarat,929,13807
Gujarat,59,19573
Gujarat,61,11939
Gujarat,559,4776
Gujarat,470,11258
Gujarat,681,14165
Gujarat,461,15706
Gujarat,784,913
Gujarat,495,10227
Gujarat,423,33868
Gujarat,439,5604
Gujarat,712,14284
Gujarat,367,18939
Gujarat,329,10960
Gujarat,854,20253
Gujarat,416,18535
Gujarat,505,2259
Gujarat,233,1746
Gujarat,18,26144
Gujarat,892,6516
Gujarat,844,18427
Gujarat,885,26542
Gujarat,448,14210
Gujarat,155,9346
Gujarat,543,11823
Gujarat,172,7967
Gujarat,249,14652
Gujarat,1113,10717
Gujarat,475,60
Gujarat,525,11939
Gujarat,622,9550
Gujarat,567,1351
Gujarat,627,15342
Gujarat,833,1708
Gujarat,510,17962
Haryana,175,9239
Haryana,980,12406
Haryana,359,7006
Haryana,937,6659
Haryana,434,11725
Haryana,308,8166
Haryana,343,6508
Haryana,104,0
Haryana,16,10535
Haryana,583,15070
Haryana,907,12337
Haryana,626,29600
Haryana,815,15756
Haryana,650,9932
Haryana,38,14978
Haryana,348,18294
Haryana,1134,503
Haryana,281,13355
Haryana,203,14178
Haryana,722,13256
Haryana,454,13817
Haryana,637,15536
Haryana,471,24245
Haryana,539,669
Haryana,598,3559
Haryana,212,0
Haryana,279,11384
Haryana,317,12939
Haryana,149,14911
Haryana,251,11107
Haryana,315,12762
Haryana,888,11688
Haryana,312,5450
Haryana,643,217
Haryana,726,7900
Haryana,61,4135
Haryana,337,19381
Haryana,628,2201
Haryana,294,9264
Haryana,653,3371
Haryana,50,16015
Haryana,534,18015
Haryana,10,3794
Haryana,26,4424
Haryana,711,6785
Haryana,451,30766
Haryana,347,20106
Haryana,586,4394
Haryana,1007,10868
Haryana,73,26285
Haryana,137,2472
Haryana,820,11588
Haryana,68,11264
Haryana,553,0
Haryana,633,7226
Haryana,764,24693
Haryana,467,26900
Haryana,280,5827
Haryana,605,6212
Haryana,713,6491
Haryana,966,13759
Jharkhand,564,7371
Jharkhand,338,25381
Jharkhand,1135,8531
Jharkhand,240,20137
Jharkhand,574,3353
Jharkhand,663,7129
Jharkhand,266,15471
Jharkhand,440,7701
Jharkhand,460,5683
Jharkhand,458,6879
Jharkhand,354,3352
Jharkhand,277,8856
Jharkhand,47,7642
Jharkhand,306,7597
Jharkhand,605,1507
Jharkhand,534,26597
Jharkhand,160,13427
Jharkhand,781,24305
Jharkhand,445,19496
Jharkhand,630,11626
Jharkhand,762,11629
Jharkhand,368,10532
Jharkhand,697,15398
Jharkhand,41,17413
Jharkhand,616,15239
Jharkhand,420,3833
Jharkhand,547,473
Jharkhand,150,9116
Jharkhand,796,21838
Jharkhand,423,15083
Jharkhand,328,0
Jharkhand,1049,3903
Jharkhand,650,5346
Jharkhand,10,9725
Jharkhand,266,22588
Jharkhand,592,24881
Jharkhand,500,0
Jharkhand,713,4420
Jharkhand,135,2474
Jharkhand,246,18204
Jharkhand,555,10387
Jharkhand,1118,9945
Jharkhand,797,9432
Jharkhand,374,37735
Jharkhand,585,16797
Jharkhand,288,10426
Jharkhand,169,2070
Jharkhand,495,11235
Jharkhand,526,9079
Jharkhand,510,11432
Jharkhand,758,0
Jharkhand,395,3145
Jharkhand,411,5816
Karnataka,436,10008
Karnataka,805,2167
Karnataka,796,15620
Karnataka,338,19325
Karnataka,500,0
Karnataka,454,1034
Karnataka,425,13509
Karnataka,704,6115
Karnataka,539,28917
Karnataka,416,14276
Karnataka,344,17455
Karnataka,535,19549
Karnataka,741,2464
Karnataka,368,15043
Karnataka,324,25741
Karnataka,336,27190
Karnataka,680,6040
Karnataka,851,23141
Karnataka,1105,5526
Karnataka,555,13971
Karnataka,759,9706
Karnataka,451,14647
Karnataka,568,3267
Karnataka,152,26865
Karnataka,382,14165
Karnataka,56,1455
Karnataka,170,4633
Karnataka,233,16397
Karnataka,355,0
Karnataka,788,7465
Karnataka,1047,11243
Karnataka,611,0
Karnataka,682,869
Karnataka,705,13951
Karnataka,639,5562
Karnataka,689,5615
Karnataka,189,3043
Karnataka,640,6526
Karnataka,542,4437
Karnataka,291,3199
Karnataka,509,10579
Karnataka,708,9135
Karnataka,128,1169
Kerala,585,13030
Kerala,178,774
Kerala,245,12133
Kerala,630,10744
Kerala,500,14397
Kerala,243,0
Kerala,540,25182
Kerala,640,4361
Kerala,729,17214
Kerala,575,0
Kerala,631,8737
Kerala,254,11098
Kerala,454,6929
Kerala,567,6758
Kerala,560,3753
Kerala,199,6616
Kerala,383,2480
Kerala,494,12885
Kerala,368,19103
Kerala,1117,28330
Kerala,861,6226
Kerala,414,6194
Kerala,23,3026
Kerala,820,43270
Kerala,426,18538
Kerala,376,4296
Kerala,538,18762
Kerala,327,1159
Kerala,72,18137
Kerala,538,10318
Kerala,192,8668
Kerala,501,8506
Kerala,694,13904
Kerala,249,17611
Kerala,1042,14297
Kerala,422,13257
Kerala,489,11229
Kerala,602,3586
Jharkhand,882,10278
Karnataka,60,0
Karnataka,1162,6282
Karnataka,785,0
Karnataka,755,13805
Karnataka,682,11844
Karnataka,406,10504
Karnataka,1147,14448
Karnataka,246,25381
Karnataka,401,8990
Karnataka,489,4126
Karnataka,392,130
Karnataka,416,3080
Karnataka,48,5387
Karnataka,206,23122
Karnataka,366,14716
Karnataka,636,7124
Karnataka,699,19113
Karnataka,254,13794
Karnataka,853,2204
Karnataka,741,6181
Karnataka,100,0
Karnataka,289,17651
Karnataka,60,24963
Karnataka,553,6988
Karnataka,242,18565
Karnataka,674,3237
Karnataka,398,11695
Karnataka,457,4370
Karnataka,827,25148
Karnataka,336,1831
Karnataka,758,1486
Karnataka,572,14586
Karnataka,428,22494
Karnataka,664,2254
Karnataka,453,32646
Karnataka,334,487
Karnataka,710,188
Karnataka,811,0
Karnataka,326,1536
Karnataka,323,8534
Karnataka,469,5231
Karnataka,847,5811
Karnataka,670,38463
Karnataka,372,7261
Karnataka,658,11057
Karnataka,797,14543
Karnataka,357,8471
Karnataka,501,7726
Karnataka,720,16152
Karnataka,716,13598
Karnataka,783,13786
