bhk,area_sqft,age_years,floor,total_floors,parking_spaces,has_gym,has_pool,has_lift,price_lakhs
1,312.2,8.0,0,2,0,1,0,0,25.7
1,352.6,15.0,0,2,0,1,0,0,47.38
2,883.8,2.0,18,28,1,0,0,1,164.4
1,582.8,15.0,22,32,1,0,0,1,64.94
3,1786.1,18.0,14,18,1,0,0,1,143.35
4,1825.9,3.0,0,2,1,1,0,0,344.18
2,1647.7,0.0,0,2,2,0,1,0,162.05
3,3588.6,1.0,0,2,2,1,0,0,883.58
2,2432.2,1.0,0,2,1,0,0,0,427.3
1,362.1,8.0,0,2,1,1,0,0,60.59
3,1180.4,18.0,17,25,1,1,1,1,194.66
3,1533.5,6.0,2,2,2,0,0,0,179.59
4,1450.6,18.0,23,29,1,0,0,1,115.48
4,3147.0,15.0,0,2,0,0,0,0,405.8
3,1403.8,3.0,7,9,0,1,0,1,176.71
3,1648.0,3.0,5,7,1,0,1,1,143.1
5,2720.0,1.0,0,2,2,0,0,0,601.06
1,458.8,6.0,0,2,1,1,1,0,78.7
5,3881.2,6.0,0,2,1,1,0,0,692.83
2,859.8,7.0,22,32,1,1,0,1,128.76
3,1776.8,15.0,12,17,1,0,0,1,319.83
3,1271.2,3.0,2,7,0,0,1,1,229.09
4,1565.0,15.0,3,8,1,0,1,1,210.4
1,363.3,4.0,0,2,1,0,0,0,56.41
2,813.1,2.0,24,34,0,1,1,1,129.98
2,2718.8,4.0,0,2,0,0,0,0,407.7
4,2103.8,1.0,0,2,1,1,0,0,377.98
3,1479.0,5.0,12,14,1,1,0,1,189.97
2,886.2,3.0,9,13,2,1,1,1,207.78
1,443.3,1.0,0,2,2,0,0,0,58.88
3,1352.5,10.0,18,18,0,1,0,1,145.32
2,1161.5,8.0,15,24,1,1,0,1,192.09
1,304.4,0.0,0,2,2,1,0,0,46.42
3,1958.6,1.0,0,2,2,0,0,0,267.6
4,3377.0,2.0,16,25,1,0,0,1,885.17
1,597.1,7.0,8,18,1,1,0,1,74.54
1,442.0,7.0,0,2,1,1,1,0,38.01
3,1216.8,5.0,21,26,1,1,1,1,209.86
3,1622.2,1.0,10,20,0,0,1,1,361.73
3,1487.7,18.0,6,14,0,1,0,1,139.88
1,412.2,9.0,0,2,1,1,0,0,71.74
1,430.6,12.0,21,21,1,0,1,1,80.88
2,1063.9,6.0,21,23,1,1,0,1,123.34
3,1148.4,9.0,5,6,1,1,0,1,191.01
3,3662.3,4.0,0,2,1,1,0,0,523.27
3,3435.2,1.0,0,2,0,1,0,0,516.94
3,1271.5,0.0,6,13,1,0,1,1,226.28
1,305.6,9.0,0,2,2,1,0,0,39.69
3,1187.2,4.0,8,14,1,1,0,1,130.43
4,1882.7,6.0,19,25,1,1,1,1,218.02
3,1380.5,0.0,0,10,1,1,1,1,247.38
3,1411.4,7.0,4,12,2,1,0,1,193.65
3,1290.5,3.0,16,19,1,0,1,1,249.04
3,1228.4,4.0,0,2,1,1,1,0,260.04
4,2720.3,12.0,0,2,2,0,1,0,412.53
2,1016.8,10.0,11,12,0,0,0,1,96.61
4,1792.9,4.0,22,27,0,0,1,1,234.19
2,965.2,0.0,18,25,2,1,1,1,87.59
4,2669.0,15.0,0,2,1,1,0,0,555.42
4,4529.2,6.0,23,31,1,0,0,1,883.4
5,3160.5,8.0,0,2,0,0,0,0,1264.28
1,421.1,0.0,0,2,1,0,1,0,38.73
3,3834.7,0.0,0,2,0,1,1,0,581.95
3,1744.9,3.0,21,26,2,0,1,1,191.15
3,1582.2,3.0,23,32,0,1,0,1,209.25
2,832.1,1.0,0,5,1,1,0,1,182.37
1,361.3,10.0,0,2,0,1,0,0,31.24
4,3863.4,20.0,10,16,2,1,0,1,638.98
1,574.6,1.0,3,5,2,1,0,1,65.94
3,1084.1,12.0,16,17,1,1,0,1,107.63
3,1647.6,12.0,20,22,1,1,1,1,412.54
3,2125.3,6.0,17,18,1,1,1,1,684.65
1,332.5,1.0,0,2,2,1,1,0,48.87
1,531.4,5.0,4,14,1,0,0,1,87.18
4,2654.1,4.0,0,2,1,0,1,0,554.89
4,3076.2,3.0,5,15,1,1,1,1,607.54
2,715.6,6.0,18,21,2,1,0,1,163.42
3,1599.9,2.0,16,17,1,1,1,1,334.0
4,2059.4,20.0,15,20,0,1,0,1,216.68
1,384.8,18.0,0,2,0,1,0,0,34.44
2,993.8,15.0,8,14,2,0,0,1,123.89
3,1379.9,2.0,8,11,0,0,0,1,159.41
2,1023.6,4.0,4,13,1,0,0,1,110.81
4,4417.0,7.0,0,2,1,1,1,0,491.68
2,1083.7,7.0,5,15,1,1,0,1,182.26
4,3259.4,1.0,15,24,1,1,0,1,1250.22
3,1890.4,4.0,0,2,1,0,1,0,414.18
4,2354.6,10.0,0,2,0,0,0,0,389.53
3,1525.9,6.0,0,2,0,1,0,0,205.26
2,1091.6,18.0,16,22,1,1,0,1,91.17
