property_id,city,property_type,bhk,area_sqft,age_years,floor,total_floors,furnishing_status,parking_spaces,has_gym,has_pool,has_lift,price_lakhs
PROP0077,Pune,Villa,4,3995.2,2,0,2,Unfurnished,1,1,0,0,664.8
PROP0078,Pune,Apartment,2,1094.2,6,8,8,Furnished,0,0,0,1,114.45
PROP0079,Bangalore,Apartment,2,1007.6,9,21,29,Unfurnished,1,1,0,1,153.78
PROP0080,Bangalore,Penthouse,3,2445.0,1,18,26,Semi-Furnished,1,0,0,1,587.59
PROP0081,Chennai,Apartment,3,1708.3,6,13,20,Unfurnished,2,0,1,1,173.51
PROP0082,Kolkata,Villa,4,2046.3,0,0,2,Semi-Furnished,1,0,0,0,263.14
PROP0083,Hyderabad,Apartment,3,1755.8,4,1,5,Unfurnished,1,0,0,1,198.8
PROP0084,Delhi,Studio,1,435.0,,0,2,Unfurnished,2,1,0,0,52.93
PROP0085,Pune,Apartment,1,525.7,3,0,2,Furnished,2,1,0,0,
PROP0086,Delhi,Apartment,2,1060.8,10,2,2,Semi-Furnished,0,1,0,0,170.17
PROP0087,Hyderabad,Apartment,2,956.2,3,21,31,Furnished,1,1,0,1,129.16
PROP0088,Chennai,Studio,1,358.2,1,0,2,Semi-Furnished,1,0,0,0,38.28
PROP0089,Delhi,Apartment,3,1377.2,4,10,19,Furnished,1,0,0,1,240.67
PROP0090,Bangalore,Villa,4,2979.1,1,0,2,Semi-Furnished,1,0,1,0,685.24
PROP0091,Mumbai,Villa,4,2323.5,10,0,2,Semi-Furnished,2,1,0,0,608.43
PROP0092,Mumbai,Row House,3,1942.3,6,0,2,Semi-Furnished,1,1,0,0,453.3
PROP0093,Delhi,Apartment,2,1015.7,10,11,19,Semi-Furnished,0,1,0,1,140.82
PROP0094,Bangalore,Apartment,2,1177.1,9,25,34,Furnished,1,0,0,1,177.84
PROP0095,Pune,Apartment,3,1428.4,1,14,21,Furnished,1,1,0,1,192.49
PROP0096,Hyderabad,Apartment,2,979.0,3,21,30,Furnished,2,0,0,1,121.03
PROP0097,Hyderabad,Apartment,2,1169.0,3,25,30,Semi-Furnished,2,1,1,1,152.8
PROP0098,Delhi,Apartment,1,403.5,18,7,9,Semi-Furnished,0,0,1,1,41.97
PROP0099,Bangalore,Villa,5,3468.7,6,0,2,Furnished,0,1,0,0,799.11
PROP0100,Kolkata,Villa,4,3916.3,2,0,2,Furnished,2,1,1,0,503.0
PROP0101,Bangalore,Studio,1,490.1,5,0,2,Semi-Furnished,0,0,0,0,55.2
PROP0102,Hyderabad,Villa,3,2026.5,1,0,2,Semi-Furnished,1,1,0,0,313.17
PROP0103,Kolkata,Apartment,2,887.0,3,7,7,Furnished,1,0,1,1,
PROP0104,Pune,Studio,1,406.7,7,0,2,Unfurnished,0,0,0,0,29.52
PROP0105,Chennai,Apartment,1,409.6,7,2,3,,2,1,0,0,40.02
PROP0106,Delhi,Villa,3,3604.2,,0,2,Semi-Furnished,2,1,1,0,730.28
PROP0107,Mumbai,Apartment,2,1073.7,3,7,17,Furnished,1,1,1,1,255.56
PROP0108,Chennai,Apartment,3,1523.8,12,24,31,Furnished,0,0,1,1,165.98
PROP0109,Delhi,Studio,1,407.8,0,0,2,Semi-Furnished,1,1,0,0,54.94
PROP0110,Bangalore,Row House,3,1498.9,8,0,2,Semi-Furnished,1,0,0,0,215.5
PROP0111,Mumbai,Apartment,1,432.0,2,22,28,Semi-Furnished,0,0,0,1,85.87
PROP0112,Chennai,Apartment,3,1354.7,5,5,5,Semi-Furnished,0,1,1,1,
PROP0113,Delhi,Apartment,2,1002.5,8,11,18,Unfurnished,1,1,0,1,134.99
PROP0114,Bangalore,Apartment,2,830.9,2,19,23,Semi-Furnished,1,1,0,1,144.14
PROP0115,Hyderabad,Row House,4,2748.1,20,0,2,Semi-Furnished,1,1,0,0,259.11
PROP0116,Delhi,Apartment,4,2192.1,2,11,19,Semi-Furnished,1,1,1,1,449.81
PROP0117,Delhi,Studio,1,409.2,4,0,2,Semi-Furnished,1,0,0,0,54.38
PROP0118,Bangalore,Villa,4,2148.4,5,0,2,Unfurnished,2,1,0,0,426.23
PROP0119,Kolkata,Villa,3,2012.9,1,0,2,Unfurnished,1,1,0,0,244.74
PROP0120,Hyderabad,Penthouse,3,4771.8,0,2,2,Unfurnished,2,1,0,0,979.61
PROP0121,Mumbai,Penthouse,4,3925.7,3,25,35,Furnished,1,1,1,1,1589.19
PROP0122,Pune,Apartment,4,1745.4,4,16,24,Unfurnished,0,0,0,1,195.46
PROP0123,Kolkata,Penthouse,4,4888.1,15,18,23,Unfurnished,0,0,1,1,446.42
PROP0124,Bangalore,Apartment,2,724.3,2,20,30,Semi-Furnished,1,1,1,1,126.23
PROP0125,Chennai,Apartment,2,985.1,1,2,8,Semi-Furnished,1,1,0,1,126.87
PROP0126,Chennai,Apartment,4,2155.0,1,16,16,Semi-Furnished,0,0,0,1,271.59
PROP0127,Bangalore,Apartment,3,1171.9,20,9,18,Semi-Furnished,1,1,0,1,129.82
PROP0128,Kolkata,Villa,4,3758.4,8,0,2,Furnished,1,1,1,0,424.25
PROP0129,Bangalore,Apartment,3,1514.8,12,21,24,Furnished,0,1,0,1,234.63
PROP0130,Chennai,Penthouse,4,4207.5,0,6,14,Furnished,1,1,0,1,860.16
PROP0131,Delhi,Apartment,3,1590.7,7,19,26,Semi-Furnished,0,0,0,1,256.12
PROP0132,Hyderabad,Apartment,2,1166.9,10,3,12,Furnished,1,0,1,1,600.39
PROP0133,Delhi,Studio,1,373.5,4,0,2,Furnished,1,0,0,0,54.36
PROP0134,Delhi,Villa,4,3522.5,0,0,2,Semi-Furnished,1,0,1,0,
PROP0135,Delhi,Row House,4,1963.9,1,0,2,Unfurnished,1,1,1,0,426.22
PROP0136,Pune,Apartment,3,1181.8,18,12,19,Unfurnished,0,1,1,1,99.3
PROP0137,Hyderabad,Penthouse,3,3363.0,7,4,12,Semi-Furnished,1,0,0,1,560.77
PROP0138,Chennai,Villa,4,2273.8,15,0,2,Unfurnished,2,1,0,0,272.35
PROP0139,Delhi,Apartment,2,817.8,9,9,18,Unfurnished,1,0,1,1,116.41
PROP0140,Bangalore,Penthouse,4,2932.9,1,9,14,Unfurnished,1,0,0,1,682.29
PROP0141,Delhi,Villa,4,3251.3,7,0,2,Furnished,1,1,1,0,791.06
PROP0142,Mumbai,Villa,4,3346.3,1,0,2,Furnished,1,0,0,0,1051.56
PROP0143,Chennai,Apartment,2,928.4,0,25,29,Semi-Furnished,1,0,1,1,116.23
PROP0144,Kolkata,Row House,2,2694.0,0,0,2,Semi-Furnished,1,1,1,0,258.74
PROP0145,Delhi,Penthouse,4,3126.9,8,17,19,,1,0,0,1,685.79
PROP0146,Mumbai,Apartment,3,1458.3,5,7,14,Unfurnished,1,0,1,1,299.6
PROP0147,Delhi,Studio,1,518.6,0,0,2,Furnished,0,0,0,0,72.11
PROP0148,Mumbai,Penthouse,3,3511.7,2,23,32,Unfurnished,1,1,1,1,1167.47
PROP0149,Hyderabad,Apartment,2,730.5,18,5,15,Unfurnished,1,1,0,1,55.79
PROP0150,Delhi,Apartment,1,484.5,2,22,24,Furnished,2,1,0,1,96.57
PROP0151,Delhi,Apartment,3,1741.7,12,23,26,Furnished,0,0,0,1,270.61
PROP0152,Mumbai,Apartment,4,1703.2,15,6,7,Furnished,1,1,1,1,359.16
PROP0153,Delhi,Apartment,2,933.1,7,11,19,Furnished,2,1,1,1,162.91
PROP0154,Mumbai,Penthouse,4,2048.7,6,23,29,Semi-Furnished,1,0,0,1,575.77
PROP0155,Kolkata,Apartment,3,1416.5,9,14,16,Semi-Furnished,1,0,0,1,112.31
PROP0156,Bangalore,Studio,1,300.1,12,0,2,Furnished,0,0,0,0,30.18
PROP0157,Bangalore,Apartment,3,1750.4,18,0,0,Semi-Furnished,1,0,0,0,186.6
PROP0158,Bangalore,Row House,2,2668.9,5,0,2,Furnished,1,0,0,0,399.17
PROP0159,Bangalore,Apartment,3,1275.0,12,20,20,Furnished,0,0,0,1,182.4
PROP0160,Chennai,Villa,5,2057.5,5,0,2,Furnished,1,1,1,0,346.67
PROP0161,Kolkata,Penthouse,4,2098.7,18,6,15,Furnished,0,1,1,1,245.67
PROP0162,Hyderabad,Villa,4,3797.3,10,0,2,Semi-Furnished,0,1,0,0,497.03
PROP0163,Hyderabad,Villa,4,4416.1,3,0,2,Semi-Furnished,1,1,0,0,652.69
PROP0164,Chennai,Apartment,2,736.8,2,25,35,Semi-Furnished,0,0,0,1,80.56
PROP0165,Chennai,Apartment,1,457.7,6,3,3,Semi-Furnished,0,1,0,0,
PROP0166,Chennai,Villa,5,2455.4,5,0,2,Semi-Furnished,0,0,0,0,300.72
PROP0167,Delhi,Studio,1,377.5,18,0,2,Semi-Furnished,1,1,0,0,35.68
PROP0168,Pune,Apartment,2,1111.8,7,9,14,Semi-Furnished,1,1,0,1,113.27
PROP0169,Chennai,Villa,5,3911.3,3,0,2,Furnished,1,0,1,0,707.3
PROP0170,Chennai,Row House,2,2476.3,12,0,2,Furnished,2,1,1,0,347.01
PROP0171,Mumbai,Apartment,2,924.5,6,17,25,Semi-Furnished,2,1,0,1,230.21
PROP0172,Pune,Apartment,2,1032.3,1,18,28,,1,0,1,1,123.55
PROP0173,Delhi,Villa,4,3367.4,6,0,2,Semi-Furnished,1,1,0,0,
PROP0174,Kolkata,Apartment,4,1541.7,3,6,14,Semi-Furnished,1,1,0,1,151.07
PROP0175,Chennai,Apartment,3,1536.0,8,23,26,Furnished,1,1,0,1,169.86
PROP0176,Hyderabad,Apartment,3,1712.3,4,0,3,Semi-Furnished,1,1,1,0,220.39
PROP0177,Mumbai,Apartment,2,831.2,15,20,25,Semi-Furnished,1,1,0,1,131.17
PROP0178,Delhi,Villa,3,2161.7,1,0,2,Furnished,0,1,0,0,552.59
PROP0179,Mumbai,Villa,4,3542.2,,0,2,Semi-Furnished,1,0,0,0,651.05
PROP0180,Chennai,Row House,3,1992.0,8,0,2,Semi-Furnished,2,1,0,0,
PROP0181,Delhi,Villa,3,3034.8,9,0,2,Unfurnished,1,0,0,0,532.74
PROP0182,Hyderabad,Villa,5,2076.5,12,0,2,Unfurnished,1,1,0,0,234.93
PROP0183,Kolkata,Studio,1,344.0,10,0,2,Semi-Furnished,1,1,0,0,21.42
PROP0184,Delhi,Apartment,2,861.8,8,8,16,Furnished,2,1,0,1,147.65
PROP0185,Kolkata,Penthouse,3,4598.2,2,7,17,Semi-Furnished,1,0,0,1,584.36
PROP0186,Delhi,Studio,1,467.6,15,0,2,Semi-Furnished,1,1,1,0,47.28
PROP0187,Hyderabad,Villa,5,3948.3,4,0,2,Unfurnished,2,1,0,0,606.89
PROP0188,Pune,Studio,1,292.4,7,0,2,Unfurnished,0,1,0,0,23.19
PROP0189,Kolkata,Penthouse,4,2905.6,15,2,12,Unfurnished,1,0,1,1,296.06
PROP0190,Bangalore,Apartment,1,403.4,0,16,26,Semi-Furnished,1,0,0,1,60.74
PROP0191,Bangalore,Apartment,1,551.5,1,9,11,Semi-Furnished,1,1,1,1,85.71
PROP0192,Mumbai,Apartment,2,1074.1,18,14,17,Semi-Furnished,0,0,1,1,155.13
PROP0193,Delhi,Apartment,2,742.1,6,19,23,Semi-Furnished,1,1,1,1,122.57
PROP0194,Delhi,Apartment,3,1766.0,5,15,25,Furnished,1,1,1,1,320.33
PROP0195,Pune,Villa,4,3643.9,9,0,2,Unfurnished,1,0,0,0,419.84
PROP0196,Hyderabad,Villa,4,3694.9,0,0,2,Semi-Furnished,1,0,0,0,605.4
PROP0197,Bangalore,Apartment,3,1675.9,8,22,28,Furnished,1,1,0,1,287.95
PROP0198,Chennai,Studio,1,312.2,8,0,2,Semi-Furnished,0,1,0,0,25.7
PROP0199,Mumbai,Studio,1,352.6,15,0,2,Unfurnished,0,1,0,0,47.38
PROP0200,Delhi,Apartment,2,883.8,2,18,28,Furnished,1,0,0,1,164.4
PROP0201,Bangalore,Apartment,1,582.8,15,22,32,Semi-Furnished,1,0,0,1,64.94
PROP0202,Pune,Apartment,3,1786.1,18,14,18,Furnished,1,0,0,1,143.35
PROP0203,Chennai,Studio,1,345.5,3,0,2,,2,1,1,0,27.57
PROP0204,Bangalore,Villa,4,1825.9,3,0,2,Unfurnished,1,1,0,0,344.18
PROP0205,Kolkata,Row House,2,1647.7,0,0,2,Furnished,2,0,1,0,162.05
PROP0206,Delhi,Villa,3,3588.6,1,0,2,Furnished,2,1,0,0,883.58
PROP0207,Delhi,Row House,2,2432.2,1,0,2,Furnished,1,0,0,0,427.3
PROP0208,Mumbai,Studio,1,362.1,8,0,2,Semi-Furnished,1,1,0,0,60.59
PROP0209,Mumbai,Apartment,3,1180.4,18,17,25,Unfurnished,1,1,1,1,194.66
PROP0210,Pune,Apartment,3,1533.5,6,2,2,Furnished,2,0,0,0,179.59
PROP0211,Chennai,Apartment,4,1450.6,18,23,29,Semi-Furnished,1,0,0,1,115.48
PROP0212,Hyderabad,Villa,4,3147.0,15,0,2,Semi-Furnished,0,0,0,0,405.8
PROP0213,Kolkata,Villa,3,2832.7,8,0,2,Semi-Furnished,1,0,0,0,
PROP0214,Chennai,Apartment,3,1403.8,3,7,9,Semi-Furnished,0,1,0,1,176.71
PROP0215,Kolkata,Apartment,3,1648.0,3,5,7,Unfurnished,1,0,1,1,143.1
PROP0216,Mumbai,Row House,4,2496.6,,0,2,Semi-Furnished,0,0,0,0,434.26
PROP0217,Delhi,Villa,5,2720.0,1,0,2,Unfurnished,2,0,0,0,601.06
PROP0218,Mumbai,Studio,1,458.8,6,0,2,Furnished,1,1,1,0,78.7
PROP0219,Delhi,Studio,1,431.7,15,0,2,,1,1,1,0,42.12
PROP0220,Hyderabad,Villa,5,3881.2,6,0,2,Furnished,1,1,0,0,692.83
PROP0221,Delhi,Apartment,2,859.8,7,22,32,Unfurnished,1,1,0,1,128.76
PROP0222,Mumbai,Apartment,3,1776.8,15,12,17,Semi-Furnished,1,0,0,1,319.83
PROP0223,Mumbai,Apartment,3,1271.2,3,2,7,Unfurnished,0,0,1,1,229.09
PROP0224,Bangalore,Apartment,4,1565.0,15,3,8,Furnished,1,0,1,1,210.4
PROP0225,Delhi,Apartment,1,492.9,12,11,11,Furnished,1,0,1,1,
PROP0226,Mumbai,Studio,1,363.3,4,0,2,Semi-Furnished,1,0,0,0,56.41
PROP0227,Bangalore,Apartment,2,813.1,2,24,34,Furnished,0,1,1,1,129.98
PROP0228,Bangalore,Row House,3,2698.2,6,0,2,Furnished,1,0,1,0,
PROP0229,Bangalore,Row House,2,2718.8,4,0,2,Unfurnished,0,0,0,0,407.7
PROP0230,Mumbai,Villa,4,3763.2,10,0,2,,1,1,1,0,1043.56
PROP0231,Hyderabad,Villa,4,2103.8,1,0,2,Semi-Furnished,1,1,0,0,377.98
PROP0232,Pune,Apartment,3,1479.0,5,12,14,Furnished,1,1,0,1,189.97
PROP0233,Mumbai,Apartment,2,886.2,3,9,13,Unfurnished,2,1,1,1,207.78
PROP0234,Delhi,Studio,1,443.3,1,0,2,Semi-Furnished,2,0,0,0,58.88
PROP0235,Chennai,Apartment,3,1352.5,10,18,18,Semi-Furnished,0,1,0,1,145.32
PROP0236,Delhi,Apartment,2,1161.5,8,15,24,Furnished,1,1,0,1,192.09
PROP0237,Delhi,Studio,1,304.4,0,0,2,Furnished,2,1,0,0,46.42
PROP0238,Pune,Row House,3,1958.6,1,0,2,Furnished,2,0,0,0,267.6
PROP0239,Delhi,Penthouse,4,3377.0,2,16,25,Furnished,1,0,0,1,885.17
PROP0240,Delhi,Apartment,1,597.1,7,8,18,Unfurnished,1,1,0,1,74.54
PROP0241,Chennai,Studio,1,442.0,7,0,2,Semi-Furnished,1,1,1,0,38.01
PROP0242,Bangalore,Apartment,3,1216.8,5,21,26,Unfurnished,1,1,1,1,209.86
PROP0243,Mumbai,Apartment,3,1622.2,1,10,20,Semi-Furnished,0,0,1,1,361.73
PROP0244,Pune,Apartment,3,1487.7,18,6,14,Furnished,0,1,0,1,139.88
PROP0245,Kolkata,Apartment,4,2292.8,20,22,24,Furnished,1,1,0,1,
PROP0246,Mumbai,Studio,1,412.2,9,0,2,Furnished,1,1,0,0,71.74
PROP0247,Mumbai,Apartment,1,430.6,12,21,21,Furnished,1,0,1,1,80.88
PROP0248,Pune,Apartment,2,1063.9,6,21,23,Furnished,1,1,0,1,123.34
PROP0249,Delhi,Apartment,3,1148.4,9,5,6,Semi-Furnished,1,1,0,1,191.01
PROP0250,Hyderabad,Villa,3,3662.3,4,0,2,Semi-Furnished,1,1,0,0,523.27
PROP0251,Hyderabad,Villa,3,3435.2,1,0,2,Unfurnished,0,1,0,0,516.94
PROP0252,Bangalore,Apartment,3,1271.5,0,6,13,Semi-Furnished,1,0,1,1,226.28
PROP0253,Mumbai,Apartment,2,1061.8,1,7,14,Furnished,2,0,0,1,
PROP0254,Delhi,Studio,1,305.6,9,0,2,Furnished,2,1,0,0,39.69
PROP0255,Pune,Apartment,3,1187.2,4,8,14,Unfurnished,1,1,0,1,130.43
PROP0256,Pune,Apartment,4,1882.7,6,19,25,Semi-Furnished,1,1,1,1,218.02
PROP0257,Bangalore,Apartment,3,1380.5,0,0,10,Semi-Furnished,1,1,1,1,247.38
PROP0258,Hyderabad,Apartment,3,1411.4,7,4,12,Semi-Furnished,2,1,0,1,193.65
PROP0259,Bangalore,Apartment,3,1290.5,3,16,19,Furnished,1,0,1,1,249.04
PROP0260,Delhi,Row House,3,1228.4,4,0,2,Furnished,1,1,1,0,260.04
PROP0261,Bangalore,Villa,4,2720.3,12,0,2,Unfurnished,2,0,1,0,412.53
PROP0262,Hyderabad,Apartment,2,1016.8,10,11,12,Semi-Furnished,0,0,0,1,96.61
PROP0263,Hyderabad,Apartment,4,1792.9,4,22,27,Unfurnished,0,0,1,1,234.19
PROP0264,Kolkata,Apartment,2,965.2,0,18,25,Unfurnished,2,1,1,1,87.59
PROP0265,Mumbai,Villa,4,2669.0,15,0,2,Semi-Furnished,1,1,0,0,555.42
PROP0266,Hyderabad,Penthouse,4,4529.2,6,23,31,Furnished,1,0,0,1,883.4
PROP0267,Kolkata,Villa,5,3160.5,8,0,2,Furnished,0,0,0,0,1264.28
PROP0268,Pune,Studio,1,421.1,0,0,2,Furnished,1,0,1,0,38.73
PROP0269,Pune,Villa,3,3834.7,0,0,2,Unfurnished,0,1,1,0,581.95
PROP0270,Chennai,Apartment,3,1744.9,3,21,26,Unfurnished,2,0,1,1,191.15
PROP0271,Bangalore,Apartment,3,1582.2,3,23,32,Semi-Furnished,0,1,0,1,209.25
PROP0272,Mumbai,Apartment,2,832.1,1,0,5,Unfurnished,1,1,0,1,182.37
PROP0273,Hyderabad,Studio,1,361.3,10,0,2,Semi-Furnished,0,1,0,0,31.24
PROP0274,Delhi,Apartment,3,1547.5,,24,33,Furnished,1,1,1,1,303.04
PROP0275,Bangalore,Penthouse,4,3863.4,20,10,16,Semi-Furnished,2,1,0,1,638.98
PROP0276,Chennai,Apartment,1,574.6,1,3,5,Semi-Furnished,2,1,0,1,65.94
PROP0277,Mumbai,Villa,5,2355.1,12,0,2,Unfurnished,1,0,1,0,
PROP0278,Mumbai,Apartment,2,735.2,12,13,19,,1,0,0,1,128.51
PROP0279,Chennai,Apartment,3,1084.1,12,16,17,Semi-Furnished,1,1,0,1,107.63
PROP0280,Mumbai,Apartment,3,1647.6,12,20,22,Furnished,1,1,1,1,412.54
PROP0281,Mumbai,Penthouse,3,2125.3,6,17,18,Semi-Furnished,1,1,1,1,684.65
PROP0282,Delhi,Studio,1,332.5,1,0,2,Unfurnished,2,1,1,0,48.87
PROP0283,Delhi,Apartment,1,531.4,5,4,14,Furnished,1,0,0,1,87.18
PROP0284,Bangalore,Villa,4,2654.1,4,0,2,Furnished,1,0,1,0,554.89
PROP0285,Chennai,Penthouse,4,3076.2,3,5,15,Semi-Furnished,1,1,1,1,607.54
PROP0286,Mumbai,Apartment,2,715.6,6,18,21,Semi-Furnished,2,1,0,1,163.42
PROP0287,Delhi,Apartment,3,1599.9,2,16,17,Semi-Furnished,1,1,1,1,334.0
PROP0288,Bangalore,Apartment,4,2059.4,20,15,20,Semi-Furnished,0,1,0,1,216.68
PROP0289,Bangalore,Studio,1,384.8,18,0,2,Unfurnished,0,1,0,0,34.44
PROP0290,Bangalore,Apartment,2,993.8,15,8,14,Furnished,2,0,0,1,123.89
